id,birth_date,name,type,owner_id,energy_level,separation_anxiety_score,cats,children,dogs,trainability_index,body_condition_score,current_weight_kg,ideal_weight_kg,sterilization_status,breed,caloric_intake_daily,food_type,climate_zone,dwelling_type,noise_exposure_level,outdoor_access_hours,gender,diagnosis
59,2019-07-14,Casper,Cat,22,Medium,2,Friendly,Friendly,Tolerant,3.0,6,5.8,5.0,Neutered,American Shorthair,240,Weight Management,Humid,Apartment,Medium,0.0,Male,
60,2017-04-10,Nandi,Cow,23,Medium,1,Indifferent,Friendly,Cautious,2.8,5,390.0,380.0,Not Applicable,Rathi,13000,Dry Fodder,Dry,Farm,Low,10.0,Female,
61,2021-09-05,Kajal,Goat,23,High,1,Neutral,Friendly,Alert,3.0,5,36.0,35.0,Not Applicable,Marwari,1500,Desert Shrubs,Dry,Farm,Low,8.0,Female,
62,2018-03-12,Bholu,Cow,23,Medium,1,Indifferent,Gentle,Calm,2.5,6,500.0,480.0,Not Applicable,Hariana,15000,Fodder & Grain,Dry,Farm,Low,10.0,Male,
63,2020-05-30,Bolt,Dog,24,High,3,Chase Prone,Friendly,Friendly,3.5,4,31.0,30.0,Neutered,Greyhound,1600,High Protein,Moderate,House,Low,2.0,Male,
64,2021-11-20,Jerry,Dog,24,Very High,4,Chase Prone,Playful,Dominant,4.5,5,7.5,7.0,Neutered,Jack Russell Terrier,600,Active Dog Kibble,Moderate,Apartment,Medium,2.0,Male,
65,2022-02-28,Lola,Cat,24,High,2,Friendly,Playful,Curious,4.0,5,3.1,3.0,Spayed,Abyssinian,220,Dry Food,Moderate,Apartment,Medium,0.0,Female,
66,2020-12-10,Bijli,Goat,25,High,1,Neutral,Friendly,Alert,3.0,5,46.0,45.0,Not Applicable,Jakhrana,1900,Shrubs & Grains,Dry,Farm,Low,8.0,Female,
67,2021-06-15,Badal,Goat,25,High,1,Neutral,Cautious,Fearful,2.5,6,42.0,40.0,Not Applicable,Gaddi,1700,Mountain Grass,Cool,Farm,Low,10.0,Male,
68,2019-04-20,Suraj,Cow,25,Medium,1,Indifferent,Friendly,Calm,2.8,6,460.0,450.0,Not Applicable,Nagori,14000,Fodder,Dry,Farm,Low,12.0,Male,
69,2021-10-05,Prince,Dog,26,Medium,5,Neutral,Avoidant,Fearful,2.5,5,2.8,2.5,Neutered,Chihuahua,200,Wet Food,Moderate,Apartment,Low,0.5,Male,
70,2022-07-22,Whiskers,Cat,26,Medium,2,Friendly,Gentle,Tolerant,3.0,6,3.2,3.0,Spayed,Munchkin,200,Dry Food,Moderate,Apartment,Low,0.0,Female,
71,2023-01-10,Tweety,Parrot,26,Medium,1,Fearful,Observer,Fearful,2.0,5,0.02,0.02,Not Applicable,Canary,15,Seeds,Moderate,Indoor Cage,Low,0.0,Male,
72,2019-06-06,Buster,Dog,27,Low,2,Indifferent,Friendly,Tolerant,2.5,7,25.0,23.0,Neutered,Bulldog,1000,Hypoallergenic,Warm,House,Low,1.0,Male,
73,2020-03-15,Socks,Cat,27,Medium,1,Friendly,Independent,Tolerant,3.0,5,4.1,4.0,Spayed,Domestic Shorthair,250,Fish Mix,Humid,Apartment,Low,0.0,Female,
74,2021-09-01,Marley,Dog,28,High,3,Friendly,Very Friendly,Friendly,4.5,5,26.0,25.0,Neutered,Labradoodle,1400,Premium Kibble,Moderate,House,Medium,3.0,Male,
75,2022-04-10,Leo,Cat,28,Very High,2,Dominant,Playful,Friendly,4.0,5,5.2,5.0,Neutered,Bengal,350,High Protein,Humid,House,Low,4.0,Male,
76,2020-11-15,Thor,Dog,29,Very High,5,Prey Drive,Friendly,Friendly,3.0,5,24.5,25.0,Neutered,Husky,1600,Active Dog Food,Cool,House,Medium,4.0,Male,
77,2019-12-05,Loki,Dog,29,High,4,Aggressive,Friendly,Dominant,3.5,6,40.0,38.0,Neutered,Malamute,2000,Raw Diet,Cool,House,Medium,4.0,Male,
78,2021-05-20,Meena,Goat,29,Medium,1,Neutral,Cautious,Fearful,2.5,5,32.0,30.0,Not Applicable,Changthangi,1500,Grass,Cool,Farm,Low,8.0,Female,
79,2018-08-15,Naina,Cow,30,Medium,1,Indifferent,Friendly,Cautious,2.8,5,360.0,350.0,Not Applicable,Red Kandhari,13000,Fodder,Dry,Farm,Low,10.0,Female,
80,2017-02-10,Kaali,Cow,30,Medium,1,Indifferent,Gentle,Calm,2.5,6,430.0,420.0,Not Applicable,Deoni,15000,Green Fodder,Dry,Farm,Low,10.0,Female,
81,2019-11-20,Bhim,Cow,30,High,1,Indifferent,Cautious,Aggressive,2.0,7,500.0,480.0,Not Applicable,Khillari,16000,Dry Fodder,Dry,Farm,Low,12.0,Male,
82,2022-01-01,Buddy,Dog,31,Medium,5,Friendly,Playful,Friendly,3.0,5,6.5,6.0,Neutered,Shih Tzu,400,Small Breed Kibble,Moderate,Apartment,Low,0.5,Male,
83,2020-05-15,Snowball,Cat,31,Low,3,Tolerant,Calm,Fearful,2.0,5,4.2,4.0,Spayed,Persian,230,Wet Food,Humid,Apartment,Low,0.0,Female,
84,2021-08-08,Mithu,Parrot,31,High,2,Fearful,Observer,Fearful,3.0,5,0.08,0.08,Not Applicable,Plum-headed Parakeet,60,Seeds & Fruits,Humid,Indoor Cage,Medium,0.0,Male,
85,2019-10-20,Sheru,Dog,32,High,2,Aggressive,Protective,Aggressive,4.0,5,26.0,25.0,Neutered,Kombai,1500,Raw Meat & Rice,Warm,Farm,Low,8.0,Male,
86,2018-05-15,Rani,Cow,32,Medium,1,Indifferent,Friendly,Cautious,2.5,5,310.0,300.0,Not Applicable,Umblachery,12000,Rice Straw,Warm,Farm,Low,10.0,Female,
87,2021-03-10,Appu,Goat,32,High,1,Neutral,Friendly,Alert,2.8,5,34.0,35.0,Not Applicable,Kanni Adu,1600,Shrubs,Warm,Farm,Low,8.0,Male,
88,2020-09-09,Max,Dog,33,High,4,Curious,Very Friendly,Playful,4.0,6,32.0,30.0,Neutered,Boxer,1500,High Protein Kibble,Moderate,House,Low,2.0,Male,
89,2021-12-25,Luna,Cat,33,Low,2,Friendly,Friendly,Tolerant,3.0,5,4.6,4.5,Spayed,Ragdoll,250,Wet Food,Moderate,Apartment,Low,0.0,Female,
90,2022-06-15,Thumper,Rabbit,33,Medium,1,Cautious,Gentle,Fearful,2.5,5,1.6,1.5,Neutered,Holland Lop,150,Hay,Moderate,Indoor Cage,Low,0.0,Male,
91,2020-04-01,Ruby,Dog,34,High,3,Aggressive,Protective,Alert,4.5,5,31.5,32.0,Spayed,Doberman,1600,High Energy Kibble,Warm,House,Medium,3.0,Female,
92,2019-02-14,Coco,Parrot,34,High,5,Fearful,Talkative,Alert,5.0,5,0.46,0.45,Not Applicable,African Grey,180,Pellets & Fruits,Warm,Indoor Cage,High,0.0,Female,
93,2022-05-20,Oreo,Rabbit,34,High,2,Cautious,Friendly,Fearful,2.5,5,1.2,1.1,Neutered,Netherland Dwarf,140,Hay,Moderate,Indoor Cage,Medium,0.0,Male,
94,2020-09-12,Mittu,Parrot,34,Medium,2,Fearful,Talkative,Fearful,3.5,5,0.26,0.25,Not Applicable,Alexandrine Parakeet,110,Seeds & Nuts,Moderate,Indoor Cage,Medium,0.0,Male,
95,2019-12-05,Snowy,Cat,34,Low,1,Tolerant,Gentle,Fearful,2.0,6,4.3,4.0,Spayed,Persian,220,Wet Food,Humid,Apartment,Low,0.0,Female,
96,2018-06-10,Rusty,Dog,35,Medium,4,Friendly,Friendly,Friendly,4.0,5,30.0,28.0,Neutered,Golden Retriever,1300,Dry Food,Moderate,House,Medium,2.0,Male,Arthritis
97,2021-02-15,Daisy,Dog,36,High,2,Friendly,Playful,Friendly,5.0,4,22.0,24.0,Spayed,Border Collie,1000,Active Kibble,Cool,Farm,High,4.0,Female,Injury
98,2020-11-20,Bailey,Dog,36,Low,5,Fearful,Cautious,Fearful,3.0,6,12.0,10.0,Neutered,Beagle,600,Diet Food,Warm,Apartment,Low,1.0,Male,Obesity
99,2019-04-05,Charlie,Dog,37,High,3,Aggressive,Protective,Dominant,4.0,5,35.0,34.0,Neutered,German Shepherd,1500,High Protein,Moderate,House,Medium,3.0,Male,Dermatitis
100,2022-01-30,Lola,Dog,37,Medium,1,Friendly,Gentle,Friendly,3.0,5,8.0,8.0,Spayed,Pug,400,Small Breed,Warm,Apartment,Low,0.5,Female,Gingivitis
101,2017-09-12,Rocky,Dog,38,Medium,2,Tolerant,Friendly,Tolerant,4.0,5,40.0,38.0,Neutered,Rottweiler,1800,Raw Diet,Cool,House,Low,2.0,Male,Osteoarthritis
102,2021-07-25,Sadie,Dog,38,High,4,Friendly,Playful,Friendly,5.0,5,25.0,24.0,Spayed,Australian Shepherd,1200,Active Kibble,Moderate,Farm,High,5.0,Female,Parasitic Worms
103,2020-03-18,Toby,Dog,39,Low,3,Friendly,Friendly,Friendly,3.0,7,15.0,12.0,Neutered,Cocker Spaniel,700,Weight Mgmt,Warm,House,Medium,1.0,Male,Overweight
104,2019-12-01,Molly,Dog,39,High,2,Friendly,Playful,Friendly,4.0,5,28.0,27.0,Spayed,Boxer,1400,Standard Kibble,Moderate,House,Medium,2.0,Female,Gastritis
105,2022-05-10,Bear,Dog,40,Medium,1,Friendly,Gentle,Friendly,3.0,5,50.0,48.0,Neutered,Newfoundland,2500,Large Breed,Cool,House,Low,1.0,Male,Allergy
106,2019-03-15,Buddy,Dog,41,Medium,3,Friendly,Friendly,Friendly,4.0,6,32.0,28.0,Neutered,Golden Retriever,1350,Dry Food,Moderate,House,Medium,2.0,Male,Arthritis
107,2021-07-20,Daisy,Dog,41,High,2,Friendly,Playful,Friendly,5.0,4,18.0,18.0,Spayed,Border Collie,1100,Active Kibble,Cool,Farm,High,4.0,Female,Dermatitis
108,2020-11-10,Rocky,Dog,42,Low,4,Fearful,Cautious,Fearful,3.0,7,14.0,10.0,Neutered,Beagle,650,Diet Food,Warm,Apartment,Low,1.0,Male,Obesity
109,2018-05-05,Sadie,Dog,42,High,3,Aggressive,Protective,Dominant,4.0,5,36.0,34.0,Spayed,German Shepherd,1550,High Protein,Moderate,House,Medium,3.0,Female,Hip Dysplasia
110,2022-02-28,Bear,Dog,43,Medium,1,Friendly,Gentle,Friendly,3.0,5,9.0,8.0,Neutered,Pug,450,Small Breed,Warm,Apartment,Low,0.5,Male,Otitis Externa
111,2017-09-15,Duke,Dog,43,Medium,2,Tolerant,Friendly,Tolerant,4.0,5,42.0,40.0,Neutered,Rottweiler,1900,Raw Diet,Cool,House,Low,2.0,Male,Osteoarthritis
112,2021-06-12,Molly,Dog,44,High,4,Friendly,Playful,Friendly,5.0,5,24.0,23.0,Spayed,Australian Shepherd,1250,Active Kibble,Moderate,Farm,High,5.0,Female,Conjunctivitis
113,2020-04-18,Tucker,Dog,44,Low,3,Friendly,Friendly,Friendly,3.0,7,16.0,12.0,Neutered,Cocker Spaniel,750,Weight Mgmt,Warm,House,Medium,1.0,Male,Overweight
114,2019-12-25,Bailey,Dog,45,High,2,Friendly,Playful,Friendly,4.0,5,29.0,27.0,Spayed,Boxer,1450,Standard Kibble,Moderate,House,Medium,2.0,Female,Gastritis
115,2022-08-10,Oliver,Dog,45,Medium,1,Friendly,Gentle,Friendly,3.0,5,52.0,50.0,Neutered,Newfoundland,2600,Large Breed,Cool,House,Low,1.0,Male,Allergy
116,2020-01-20,Jack,Dog,46,High,3,Friendly,Friendly,Friendly,4.0,5,7.0,6.0,Neutered,Jack Russell,500,Active Kibble,Moderate,Apartment,Medium,2.0,Male,Dental Malocclusion
117,2018-11-15,Lucy,Dog,46,Low,2,Tolerant,Gentle,Tolerant,3.0,6,28.0,25.0,Spayed,Bulldog,1100,Hypoallergenic,Warm,House,Low,1.0,Female,Skin Infection
118,2021-03-30,Winston,Dog,47,Medium,4,Friendly,Playful,Friendly,4.0,5,12.0,11.0,Neutered,French Bulldog,700,Grain Free,Moderate,Apartment,Low,1.0,Male,Brachycephalic Syndrome
119,2019-07-05,Ginger,Dog,47,High,2,Friendly,Friendly,Friendly,4.0,5,22.0,20.0,Spayed,Vizsla,1300,High Energy,Moderate,House,High,3.0,Female,Ear Mites
120,2022-05-12,Teddy,Dog,48,Medium,1,Friendly,Gentle,Friendly,3.0,5,5.0,4.5,Neutered,Pomeranian,300,Small Breed,Warm,Apartment,Low,0.5,Male,Luxating Patella
121,2017-10-25,Zeus,Dog,48,Medium,2,Aggressive,Protective,Dominant,4.0,5,45.0,42.0,Neutered,Doberman,1800,High Protein,Warm,House,Medium,2.0,Male,Cardiomyopathy
122,2021-09-18,Chloe,Dog,49,High,4,Friendly,Playful,Friendly,5.0,5,26.0,24.0,Spayed,Siberian Husky,1400,Active Kibble,Cool,House,Medium,4.0,Female,Zinc Deficiency
123,2020-02-14,Buster,Dog,49,Low,3,Friendly,Friendly,Friendly,3.0,7,34.0,30.0,Neutered,Labrador Retriever,1200,Diet Food,Moderate,House,Medium,2.0,Male,Obesity
124,2019-06-01,Lola,Dog,50,High,2,Friendly,Playful,Friendly,4.0,5,10.0,9.0,Spayed,Boston Terrier,600,Standard Kibble,Moderate,Apartment,Low,1.0,Female,Cherry Eye
125,2022-11-20,Archie,Dog,50,Medium,1,Friendly,Gentle,Friendly,3.0,5,30.0,28.0,Neutered,Golden Retriever,1300,Dry Food,Moderate,House,Medium,2.0,Male,Hot Spot
126,2020-08-15,Roxy,Dog,51,High,3,Aggressive,Protective,Alert,4.0,5,25.0,24.0,Spayed,Pitbull,1500,High Protein,Warm,House,Medium,2.0,Female,Skin Allergies
127,2018-04-10,Bruno,Dog,51,Low,2,Tolerant,Gentle,Tolerant,3.0,6,40.0,36.0,Neutered,Bernese Mountain Dog,2000,Large Breed,Cool,House,Low,2.0,Male,Hip Dysplasia
128,2021-12-05,Penny,Dog,52,Medium,4,Friendly,Playful,Friendly,4.0,5,8.0,7.0,Spayed,Cavalier King Charles,500,Small Breed,Moderate,Apartment,Low,1.0,Female,Mitral Valve Disease
129,2019-10-22,Gus,Dog,52,High,2,Friendly,Friendly,Friendly,4.0,5,20.0,18.0,Neutered,Springer Spaniel,1100,Active Kibble,Moderate,House,High,3.0,Male,Ear Infection
130,2022-03-15,Ruby,Dog,53,Medium,1,Friendly,Gentle,Friendly,3.0,5,6.0,5.5,Spayed,Shih Tzu,350,Small Breed,Warm,Apartment,Low,0.5,Female,Dry Eye
131,2017-12-10,Koda,Dog,53,Medium,2,Aggressive,Protective,Dominant,4.0,5,38.0,35.0,Neutered,Akita,1700,Raw Diet,Cool,House,Medium,2.0,Male,Hypothyroidism
132,2021-05-28,Hazel,Dog,54,High,4,Friendly,Playful,Friendly,5.0,5,18.0,16.0,Spayed,Australian Cattle Dog,1200,Active Kibble,Warm,Farm,High,5.0,Female,Deafness
133,2020-01-05,Oscar,Dog,54,Low,3,Friendly,Friendly,Friendly,3.0,7,12.0,9.0,Neutered,Dachshund,550,Weight Mgmt,Moderate,Apartment,Low,1.0,Male,IVDD
134,2019-08-18,Mia,Dog,55,High,2,Friendly,Playful,Friendly,4.0,5,24.0,22.0,Spayed,Vizsla,1350,High Energy,Moderate,House,High,3.0,Female,Separation Anxiety
135,2022-06-30,Finn,Dog,55,Medium,1,Friendly,Gentle,Friendly,3.0,5,32.0,30.0,Neutered,Labrador Retriever,1400,Dry Food,Moderate,House,Medium,2.0,Male,Lyme Disease
136,2020-09-12,Nala,Dog,56,High,3,Aggressive,Protective,Alert,4.0,5,28.0,26.0,Spayed,Boxer,1500,High Protein,Warm,House,Medium,2.0,Female,Mast Cell Tumor
137,2018-03-25,Sam,Dog,56,Low,2,Tolerant,Gentle,Tolerant,3.0,6,35.0,32.0,Neutered,Golden Retriever,1600,Large Breed,Moderate,House,Low,2.0,Male,Arthritis
138,2021-11-08,Lily,Dog,57,Medium,4,Friendly,Playful,Friendly,4.0,5,5.0,4.5,Spayed,Maltese,300,Small Breed,Moderate,Apartment,Low,0.5,Female,Dental Disease
139,2019-05-15,Diesel,Dog,57,High,2,Friendly,Friendly,Friendly,4.0,5,45.0,42.0,Neutered,Rottweiler,1900,Raw Diet,Cool,House,Medium,2.0,Male,Osteosarcoma
